AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
AA1-Z-L-AH0-M, MOSLEM
EH1-K-W-AH0-D-AO2-R, ECUADOR
EH1-K-SH-AH0-W-AH0-L, HETEROSEXUAL HOMOSEXUAL
AA1-V-CH-UH2-K-Z, KRAVCHUK'S
AE1-T-AY2-ER0, SATIRE
IH1-TH-AH0-G-R-AE2-F, LITHOGRAPH
OW1-G-AH0-L-V-IY0-Z, OGILVY'S
AH1-K-S-K-IH2-N, BUCKSKIN
EH1-L-AH0-B-R-AH0, CELEBRE
ER1-B-IY0-IH0-JH, VERBIAGE
OW1-L-T-AH0-JH-AH0-Z, VOLTAGES
AO1-L-D-R-EH0-D, ALDRED(2)
EH1-N-T-R-AH0-N-T-S, ENTRANTS
UH1-L-Z-IY0-Z, WOOLSEY'S
AY1-AO0-N, PTYON
ER1-K-Y-AH0-L-EY2-SH-AH0-N, CIRCULATION
AE1-M-B-UH0-SH-AH0-Z, AMBUSHES
IH1-L-AH0-K-OW2-N, SILICONE
OW1-L-IY0-OW0-S, PETROLEOS
OY1-AH0-N, BOROIAN DOYON OYEN TROYAN ZANOYAN
AA1-N-S-EH0-TH, GRONSETH
AE1-S-AH0-N-EY2-T-S, FASCINATES
UW1-AH0-T-IH0-V-L-IY0, INTUITIVELY
UW1-D-IY0, ABOODI AHMOUDI ALAMOUDI BAROODY BOODY BROODY CHUDY COODY DOODY EUDY HUDY JUDY LUDY MOODIE MOODY RHUDY RUDI RUDIE RUDY RUEDY TRUDIE TRUDY TSCHUDY UDY YEHUDI
AE1-N-T-AH0-L-IY0, SCANTILY
AE1-NG-K-L-IH2-N-Z, FRANKLIN'S
AH1-L-IH2-N-IH0-K-S, MULLINIX
OW1-P-JH-OY2, POPEJOY
AE1-K-CH-AH0-W-EH2-R-IY0-Z, ACTUARIES
IH1-G-N-AH0-CH-ER0, SIGNATURE
AA1-NG-K-AY2-T, CRONKITE
ER1-V-IY0, CURVY HURVEY NERVY SCURVY TOPSY-TURVY TURVY
AH1-N-F-AY2-T-S, GUNFIGHTS
IH1-K-Y-UW0-AH0-S-L-IY0, CONSPICUOUSLY
IH1-S-K-ER0-N, KNISKERN
UW1-B-AH0-V-IH2-CH, LUBAVITCH
OW1-N-IY0-UW0, ANTONIU
EH1-B-ER0-S-T-AE2-T, EBERSTADT
UW1-L-EH0-N-D-ER0, HULLENDER
IH1-P-AH0-T-OW0, RIPPETOE
OW1-L-F-AY2-L, WOHLFEIL
UW1-T-IH0-K-AH0-L-IY0, THERAPEUTICALLY
OW1-N-K-AH2-T-ER0, BONECUTTER STONECUTTER
AA1-K-T-ER0-AH0-L, DOCTORAL POSTDOCTORAL
AA1-T-AH0, ANNUNCIATA ANNUNZIATA ARATA ARCATA ATA BARATTA BHARATA BOTTA CAMARATA CAMMARATA CANNATA CANTATA CASSATA CONSOLATA COTTA COVATTA DAGATA DOLATA DONATA ELATA ENCATA(2) FATA FATAH FAVATA FIDATA GOTTA GRANATA GRATA HARMATA HATA HIRATA INCATA INDATA INKATHA(3) IWATA JANATA JANNOTTA JUNIATA KALATA KOVERSADA LAFATA LATA LICATA LOPATA LOTTA MAHABHARATA MARIOTTA MAROTTA MATA MENDOTA(2) MIATA MOCATTA MURATA NAGATA NAKATA NATA NUNZIATA OGATA PLATA REATTA REGATTA RENATA RENATE SAKATA SALATA SANTAGATA SCARLATA SHIBATA SONATA SOWATA SUATA TAKATA TATA TERADATA TRAVIATA VANATTA VANNATTA YAMAGATA ZAPATA ZLATA(2)
AE1-M-P-R-IY0-Z, LAMPREYS
AE1-N-T-IH0-NG-Z, PLANTINGS
AE1-F-T-IH0-G, ZAFTIG
AE1-N-Z-AH0-L-OW2-N, ANZALONE
ER1-M-AY0-T, TERMITE
AA1-Z-ER0-EH2-V, KOZYREV
AH1-D-IH2-HH-IY0, CUDDIHY
EH1-G-B-ER0-T-S, EGBERTS
IY1-P-W-EH2-R, SLEEPWEAR
EH1-D-R-IY0, GUEDRY ZAMPEDRI
IH1-T-K-ER0, SCHNITKER SNITKER
IH1-K-AH0-N-IH0-NG, QUICKENING SICKENING THICKENING
OY1-OW0-Z, ARROYO'S HOYOS
AE1-NG-OW2-V-ER0, HANGOVER
AO1-R-AH0-F-AH0-S-AH0-Z, ORIFICES
EH1-G-R-IH0-G-EY2-T-AH0-D, DESEGREGATED
AH1-N-B-ER2-N, SUNBURN
AE1-K-IY0-AH0-W-IH2-T-S, MACKIEWICZ
AW1-N-D-W-ER2-K, GROUNDWORK
AO1-L-T-M-AH0-N, ALTMAN ALTMANN AULTMAN WALTMAN
AA1-N-S-K-IY0, GAWRONSKI GAZONSKY GRONSKI JABLONSKI JABLONSKY LONSKI LONSKY MONSKY OKONSKI PLONSKI POLONSKY SKOWRONSKI WRONSKI YABLONSKI YABLONSKY
EH1-N-AH0-L-EY2-T-IH0-NG, VENTILATING(2)
AE1-Z-D-IH0-K, GAZDIK
AE1-S-T-ER0-Z, ASTERS ASTOR'S CASTERS DISASTERS LEMASTERS MASTER'S MASTERS MASTERS' MCMASTERS PASTOR'S PASTORS PILASTERS PLASTERS
AH1-NG-K-IH2-T, PLUNKITT
EH1-L-IH0-K-AA2-N-Z, HELICONS
EH1-L-AH0-N-IH2-N, MELANIN
EH1-M-AH0-N-T-S, CLEMENTS CLEMENTZ MCCLEMENTS
AW1-N-T-ER0-T-AA2-P, COUNTERTOP
EH1-D-T-AY2-M, BEDTIME
AW1-T-P-EY2-S-AH0-Z, OUTPACES
EH1-K-CH-ER0, CONJECTURE LECTURE
AH1-B-R-EY2, DUBRAY
AY1-K-R-OW0-D-AY2-N, MICRODYNE
AA1-N-S-AH0-N-T-R-EY2-T, CONCENTRATE
AY1-M-ER0-M-AH0-N, ZIMERMAN
AH1-CH-N-AH0-T, KRUTTSCHNITT
AY1-SH-AW0-P-T, WEISHAUPT
EY1-V-S-AY2-D, GRAVESIDE
IH1-M-Z-AH0-N, CRIMSON
AH1-NG-G-ER0-F-ER0-D-Z, HUNGERFORDS
AY1-F-L-AY2-IH0-NG, HIGHFLYING
AE1-CH-L-ER0, BACHELOR(2)
ER1-K-AH0-N-AW0, BIRKENAU
AY1-T-AH0-N-IH0-NG-Z, TIGHTENINGS
AA1-S-ER0-T, BOSSERT COSSAIRT
EH1-CH-B-UH2-K-S, SKETCHBOOKS
AO1-B-UH2-SH, FAWBUSH
ER1-D-AH0-N-Z, BURDENS
ER1-D-L-AW0, SWERDLOW
ER1-N-P-OW2-S, STERNPOSTS(3)
AE1-N-D-B-AE2-NG-K, LANDBANK
AA1-R-K-OW0-S-AH0-Z, MARCOS'(2)
AE1-B-AH0-K-IH0-S-T, ABACIST
AE1-T-AH0-N-EY2-T, CONCATENATE LATINATE
EH1-L-T-S-V-IH2-L, BELTSVILLE
ER1-N-S-T-IY0-N, BERNSTEIN(2)
IH1-L-V-ER0-B-ER0-G, SILVERBERG
IH1-L-Y-ER0, DEVILLIER FAMILIAR UNFAMILIAR
IH1-M-P-IY0-AH0-N-Z, OLYMPIANS
IH1-T-ER0-ER0, FITTERER
IH1-CH-ER0-AH0-T-S, BARBITURATES
AO1-R-P-AO0-R-EY0-T-AH0-D, INC.(2)
AA1-R-B-AY2-D, CARBIDE
IH1-D-N-AE2-P, KIDNAP
IY1-N-AH0-T-S, PEANUTS
OW1-F-ER0-Z-AH0-Z, BOFORS'S
IH1-B-IY0-D, IBID
OW1-K-AH0-L-IY0, LOCALLY VOCALLY
EH1-Z-B-IY0-AH0-N, LESBIAN
EH1-V-R-AH0-N-S, SEVERANCE(2)
EH1-F-T-AH0-N, LEFTON SEFTON
IH1-S-T-AH0-L-AY2-Z-IH0-NG, CRYSTALLIZING
EH1-S-AH0-N-B-ER0-G, ESSENBURG
AE1-V-AH0-HH-OW2-Z, NAVAJOS(2)
AH1-D-W-AH0-N, HUDWON
AH1-L-P-CH-ER0-IH0-NG, SCULPTURING(2)
AO1-R-D-IH0-K-AH0, NORDICA
AW1-TH-L-AE2-N-D-Z, SOUTHLAND'S
EH1-L-AH0-N-AO0-R-Z, ELEANOR'S
EH1-P-Y-UW0-T-IY0-Z, DEPUTIES(2)
EH1-S-AH0-L-T-AO2-R-IY0, DESULTORY
EH1-Z-AH0-N-EY2-T-S, RESONATES
AE1-JH-AH0-N-OW0, HAGENOW
EY1-F-HH-AW2-S, SAFEHOUSE
IH1-G-W-UH2-D, BIGWOOD
OW1-IY0-HH-IY0, OWYHEE
IY1-K-R-IY2-S-AH0-Z, DECREASES(3)
IH1-L-AH0-S-T-IY2-N-Z, PHILISTINES
IY1-T-AH0-N-Z, EATON'S SWEETENS
EH1-K-AH2-P-S, CHECKUPS
IH1-S-AH0-N-HH-AW2-ER0, ICENHOWER
AH1-M-IH0-NG-Z, COMINGS CUMMINGS
AA1-R-T-AH0-F-AE2-K-T, ARTIFACT
AE1-N-Y-AH0-N-SH-IH2-P, COMPANIONSHIP
AY1-R-S-D-AO0-R-F, BEYERSDORF
IH1-T-AH0-W-EY2-K, KITTIWAKE
OW1-T-AH0-F-AY2, NOTIFY
AY1-F-B-OW2-T, LIFEBOAT
AA1-K-S-AH0-D-AY2-Z, OXIDIZE
AA1-N-AO0-T-S, CONNAUGHT'S
AA1-N-S-AH0-D-AY2-N, CONSIDINE
AO1-NG-R-AY2-T-ER0-Z, SONGWRITERS
AY1-N-K-Y-UW2-L-ER0, STEINKUEHLER
EH1-L-OW0-IH0-SH, YELLOWISH
EH1-R-IY0-Z, AIRES ANTARES ARIES BARILLARI'S BERRIES BERRIS BERRY'S BURIES BURY'S CANARIES CAREY'S CHERRIES DAIRIES FAIRIES FERRIES FERRY'S GARY'S GERRY'S HARRIES HARRY'S JERRY'S KARIS KERREY'S KERRY'S LARRY'S MARRIES MARY'S PERRY'S PIERIE'S PRAIRIE'S RAMERIZ SHERRI'S SHERRY'S TERESE TERRY'S VARIES
OY1-K, BOIK BOIKE KOIKE STROIK VANSCHOICK
AA1-K-V-IY0, NAQVI(2)
AE1-K-T-IY0, CACTI(2)
UH1-R-TH, WUERTH
UW1-CH, BUECHE GOOCH HOOCH POOCH PUCHE SMOOCH
AA1-K-R-EY0, OKRAY
AE1-G-IH2-L-ER0-D, AGUILLARD
OW1-B-ER0, DOBER GOBER GROBER KOBER KROEBER LOBER LOCKE-OBER LOEBER OBER OCT OCT.(2) OCTOBER ROBER ROEBER SCHOBER SHOBER SOBER STOBER STOEBER STROBER TOBAR TOBER
UW1-N-IH0-K-AO2-R-P-S, UNICORP'S
AY1-T-AH0-M-AY2-Z-D, ITEMIZED
UW1-P-ER0-V-AY2-Z-ER0, SUPERVISOR
AE1-G-AH0-S-IY0, AGASSI
UW1-SH-AH0-L-IY0, CRUCIALLY(2)
UW1-SH-AH0-N-Z, ALEUTIANS CONSTITUTION'S CONSTITUTIONS CONTRIBUTIONS DISTRIBUTIONS ELECTROCUTIONS ELOCUTIONS EXECUTIONS INSTITUTION'S INSTITUTIONS INSTITUTIONS' PROSECUTION'S PROSECUTIONS RESOLUTION'S RESOLUTIONS REVOLUTION'S REVOLUTIONS SOLUTIONS SUBSTITUTIONS
UW1-T-ER0-AY2-Z, COMPUTERIZE
UW1-V-IY0-T-AY2-M, MOVIETIME
OW1-V-ER0-L-OW2-D-AH0-D, OVERLOADED
AW1-D-IY0-N-AH0-S, CLOUDINESS ROWDINESS
AE1-N-AH0-M-EY2-T-ER0, ANIMATOR
AA1-N-AH0-K, HANAK STRONACH
AH1-L-T-ER0-ER0-Z, ADULTERERS
AH1-M-F-ER0-T-AH0-B-L-IY0, COMFORTABLY
AO1-S-N-OW2-S-T, GLASNOST(3)
AY1-AH0-M-AH0-N-T, DIAMANT
EH1-M-P-L-AA0-R, EXEMPLAR
ER1-S-T-M-AH0-N, GERSTMAN
EY1-T-R-AH0-N, MATRON PATRON
AA1-R-P-AH0-N-T-ER0-Z, CARPENTER'S CARPENTERS
EH1-N-JH-AH0-M-AH0-N, BENJAMIN
IH1-K-S-N-ER0, MIXNER
OW1-K-S-T-AE2-K-S, SMOKESTACKS
AE1-S-K-AH0-S, DAMASCUS
ER1-M-IY0-AH0-N, PERMIAN
AA1-R-T-S-AW0, HARTSOUGH
AH1-L-AH0-T, GULLATT GULLET MULLET
AE1-R-AH0-N-S-B-ER0-G, DARENSBOURG
AW1-TH-W-EH2-L, SOUTHWELL
EH1-L-AH0-S, ANTONELLIS BELOUS BRUXELLES DEFELICE DELELLIS(2) DIFELICE ELLIS FELLAS JEALOUS MARCELLUS MCNELIS MCNELLIS NOVELLUS OVERZEALOUS PINELLAS SELAS TRELLIS ZEALOUS
IY1-F-T-AH0-N-Z, CHIEFTAIN'S CHIEFTAINS
OW1-V-N-ER0, GROSVENOR
OW1-Z-AH0-N-G-R-AE2-N-T, ROSENGRANT
AE1-M-B-IH2-T, GAMBIT
AY1-D-R-AH0-S-AA2-L, HYDROSOL
UW1-N-Y-AH0-N-AY2-Z-D, NONUNIONIZED UNIONIZED
IH1-TH-AH0-M, WHITHAM WITHAM WITHEM
EH1-JH-AH0-K-EY2-T-ER0, EDUCATOR
AE1-JH-AH0-N-T-R-IY0, PAGEANTRY
AE1-B-L-ER0, BABBLER
EH1-K-T-R-AH0-M, SPECTRUM
UH1-NG-Z, JUNG'S
UW1-S-AH0-B-AH0-L, CRUCIBLE REDUCIBLE
AA1-R-T-AH0-D-L-IY0, GOOD-HEARTEDLY HEARTEDLY
AO1-S-AH0-M-ER0, WASMER
ER1-JH-IY0-Z, VERGES(2)
AE1-N-AH0-HH-ER0, DANAHER
AA1-N-D-AH0-S, HONDAS
EY1-M-L-AH0-S, AIMLESS BLAMELESS NAMELESS SHAMELESS
AA1-N-D-AH0-N-S, CORRESPONDENCE
AA1-T-ER0-SH-EH2-D-Z, WATERSHEDS
IH1-N-AH0-G-R-EY2-T, INTEGRATE(2)
AH1-L-ER0-F-AE2-S-T, COLORFAST
AH1-N-K-AH0-F-ER0, UNCAPHER
AE1-NG-K-L-IY2-K, VANKLEECK
AO1-R-S-AH0-M, DOERSAM FOURSOME
IH1-N-T-S-IY0, CHINTZY
IH1-S-CH-AH0-N, CHRISTIAN MCCHRISTIAN
AH1-V-ER0-AO2-L, COVERALL
EH1-M-F-IH0-NG-ER0, EMFINGER
OW1-N-M-AH0-N, SCHONEMAN STONEMAN
AE1-K-IY0-Z, CONDRACKY'S IRAQI'S IRAQIS JACKI'S JACKIE'S JACKY'S KHAKIS LACKEYS MACKIE'S TAKI'S
OW1-L-M-Z-AH0-Z, HOLMES'S(2)
UW1-IH2-SH-N-AH0-S, JEWISHNESS
UW1-M-S-T-OW2-N, TOMBSTONE
UW1-S-T-ER0, BANKWORCESTER(2) BOOSTER BREWSTER KLOOSTER ROOSTER SCHUSTER WOOSTER
AY1-K-B-R-EY2-K-ER0-Z, STRIKEBREAKERS
EH1-B-AA2-K, SCHWEBACH
OW1-L-D-F-AY2-N, GOLDFINE
IY1-M-AE2-K, SREMAC
AY1-N-AH0-L-AH0-S, FINALISTS(3) SEMIFINALISTS(3)
AE1-G-R-AH0-V-EY2-T, AGGRAVATE
AE1-N-JH-AH0-L-OW2, ANGELO MICHELANGELO
EH1-K-S-P-OW0-Z, EXPOS
EH1-M-P-AE2-K, REMPAC
AO1-R-M-AH0-T-IH0-V, FORMATIVE INFORMATIVE NORMATIVE UNINFORMATIVE
ER1-OW0-IH0-NG, BURROWING
EY1-L-S-EY2-F, FAILSAFE
IH1-M-AH0-S-AH0-Z, GRIMACES
OW1-V-ER0-S-IY2-Z, OVERSEES
AY1-DH-AH0, GYTHA
AE1-N-D-R-IY0-S-AH0-N, ANDREASEN
AE1-N-D-AH0-V-UH0-R-D, VANDEVOORDE
AA1-B-IH0-SH-AO2, ROBISHAW
AA1-M-T, LECOMTE VICOMTE(2)
AA1-R-EH0-T-S, HA'ARETZ
AE1-L-P-IH0-NG, SCALPING
AE1-N-T-AH0-T-AO2-R-IY0, INCANTATORY
IH1-K-W-AH0-T-IY0, ANTIQUITY UBIQUITY
EH1-F-ER0-AH0-B-AH0-L, PREFERABLE
AA1-R-SH-L-AE2-N-D, MARSHLAND
AO1-S-T-L-AH0-N, TEPOZTLAN
EH1-L-AH0-B-AO0-R-G-Z, TRELLEBORG'S
AA1-R-S-AH0-L, MARSAL PARCEL PARSELL
EH1-N-AH0-S-IY0, FENNESSEY FENNESSY HENNESSEE HENNESSEY HENNESSY
AA1-JH-ER0-Z-AH0-Z, ROGERS'S
EH1-L-M-D, OVERWHELMED
EH1-L-AH0-N-IY0-Z, FELONIES
AA1-N-EH0-L-IY0, DONNELLEY(2) DONNELLY(2)
AH1-B-AH0-L-M-EY2-K-ER0, TROUBLEMAKER
AE1-N-AH0-K-IH2-N-Z, MANNEQUINS
EH1-N-IH0-K-S, CALISTHENICS ENIX EUGENICS IDENTICS(2) PENIX PENNIX PHENIX
AE1-S-T-IY0-N-AH0-S, NASTINESS
EH1-K-S-AH0-S-AH0-Z, LEXUS'S TEXAS' TEXAS'S
AA1-L-D, DOLLED FERNALD FORESTALLED REINSTALLED SOCALLED THORVALD
AA1-R-S-T-AH0-N, CARSTEN GARSTIN GARSTON HARSTON KARSTEN MARSTON
AA1-Z-L-OW2-Z, KOSLOW'S
AE1-L-B, DEKALB KALB
AE1-K-CH-ER0-ER0, MANUFACTURER
AE1-D-AH0-K-EY2-T, ERADICATE
AE1-L-AH0-K-EY0-T, REALLOCATE
AE1-ZH-AH0-N-EY0, DAGENAIS
EY1-Z-ER0, APPRAISER BLAISER BLASER BLAZER FRASER FRAZER GAISER GAZER GLAESER GLASER GLAZER GRAESER GRASER GRAZER HEYSER KAESER KASER KAYSER LASER LAZAR LAZER MASER MAZER NASER NAZER PEYSER PHASER QASR RAISER RAISOR RASER RASOR RAZOR RUKEYSER TASER
AA1-K-S-T-AH0-D-ER0, DOCKSTADER
EH1-R-K-R-AE2-F-T, AIRCRAFT ANTIAIRCRAFT
EH1-S-T-N-AH2-T, CHESTNUT(2)
IH1-B-Y-UW0-N-Z, TRIBUNE'S
IH1-G-Y-ER0-HH-EH2-D, FIGUREHEAD
IH1-M-P-L-IH0-K-EY2-T, IMPLICATE
IH1-P-S-T-IH2-K, DIPSTICK LIPSTICK
AA1-P-Y-AH0-L-AH0-S-T-S, POPULISTS
EH1-N-T-S, BENTZ BRENTS CENTS CIMENTS CIRCUMVENTS CONSENTS CONTENTS(2) DENTS DESCENTS DISCONTENTS DISSENTS ENTZ EVENT'S EVENTS FERMENTS FRENTZ GENTZ HENTZ INTENTS INVENTS JENTZ KENT'S KRENTZ LAMENTS LENTS LENTZ LENTZSCH LORENZ MALCONTENTS MENTZ MISREPRESENTS PENTZ PERCENTS PRESENTS(2) PREVENTS RENTS RENTZ REPRESENTS RESENTS SCENTS SEGMENTS(2) SENTZ SLENTZ STENTZ SUPPLEMENTS(2) TENTS TRENT'S VENTS WENTZ ZENTZ
AA1-R-N-HH-IH2-L, BARNHILL
AE1-F-IH0-K-ER0-Z, TRAFFICKERS
AE1-T-EY0-N, CATAIN
AE1-TH-T-AH2-B-Z, BATHTUBS
EY1-V-IH0-NG-ER0, AVINGER FAVINGER
AA1-R-T-IH0-K, ANTARCTIC(2) ARCTIC(2) CATHARTIC
AO1-R-M-IH0-K, CORMICK FORMIC MCCORMICK NORMICK
EH1-D-W-AO0-R-D-S-AH0-N, EDWARDSON
EH1-L-AH0-K-AA2-P-T-ER0-Z, HELICOPTER'S
EH1-N-UW0, BIENVENU
EY1-L-AH0-B-AH0-L-Z, SALABLES
IH1-P-T-EY0, IPTAY
IH1-T-AH0-L-D, BELITTLED WHITTLED
AA1-R-L-AH0-K, GARLOCK NARLOCK
AO1-R-S-OW2-Z, TORSOS
EY1-D-AH0-L-AA0-T, AYDELOTT
IY1-Z-AH0-N-AH0-L, SEASONAL
AE1-N-CH-AH0-N-IH2-Z-AH0-M, EXPANSIONISM
OW1-B-R-IH0-JH, TROWBRIDGE
OW1-S-OW0-V-OW2, KOSOVO
OW1-V-IY0-Z, ANCHOVIES
UH1-M-AH0-N-AY2-Z-ER0, WOMANIZER
OW1-P-AH0-S, COPUS MOPUS OPUS
UW1-T-AW0-T-S, SHOOTOUTS
AO1-N-T-IH0-K, SWANTEK
AA1-V-AH0-S-AH0-Z, NOVICES
AH1-N-L-IH2-T, SUNLIT
EH1-V-AH0-N-AH0, DEVONA STEVENA
EH1-V-IH0-NG-T-AH0-N, BEVINGTON
IH1-B-ER0-EY0-T-AH0-R-Z, LIBERATORS
AH1-D-W-AO2-T-ER0, FLOODWATER
EH1-R-AH0-N-T-S, BARENTS PARENT'S PARENTS PARENTS'
AW1-ER0-IH0-NG, COWERING DEVOURING EMPOWERING FLOWERING GLOWERING POWERING SCOURING SHOWERING SOURING TOWERING
IH1-NG-K-Y-UW0-B-EY2-T-ER0-Z, INCUBATORS
IY1-D-R-IH0-K-S-AH0-N, FRIEDRICHSEN
UH1-D-CH-AH2-K, WOODCHUCK
OW1-N-EH0-T, DRONET GONET
AH1-NG-L-AH2-V, YOUNGLOVE
AE1-N-D-AH0-D-EY2-T, MULTICANDIDATE
AO1-R-SH-AH0-M-Z, HORSHAM'S
AH1-SH-T-AE0-K, MUSHTAQ
UW1-AH0-N-S-AH0-N, LEWINSOHN
AA1-V-AH0-L-T, AWALT
AO1-R-AH0-S-AH0-Z, CHORUSES HORACE'S MAURICE'S NORRIS'S TAURUSES
AY1-D-AH0-D-L-IY0, DECIDEDLY
EH1-R-AH0-V-EH2-L, CARAVEL CARAVELLE
AA1-L-AH0-V, OLIVE
AA1-SH-AH0-N-D, CAUTIONED
IH1-NG-M-AY0-R, INGMIRE
AA1-K-Y-AA2-R-D-Z, STOCKYARDS
OY1-D-AH0, WUYDA
UW1-K-HH-AW2-Z-AH0-N, BRUCHHAUSEN
OW1-D-AH0-N-S-T-AY2-N, BODENSTEIN
AA1-K-M-IH2-L-ER0, LOCKMILLER
EH1-R-AH0-D-IH2-S, PAREDIS
UW1-M-IH2-S, LOOMIS
UW1-T-ER0-M-AH0-N, GUTERMAN
IH1-T-AH0-S-T, FITTEST
AA1-K-S-B-ER0-OW0, FOXBORO
AA1-N-L-OW0, CONLOW
EH1-M-AH0-S-T-R-IY0, BIOCHEMISTRY CHEMISTRY GEOCHEMISTRY
UH1-L-K-OW2, WOOLCO
EH1-N-CH-R-IY0, ELEMENTARY(3) SUPPLEMENTARY(4)
EH1-M-S-T-OW2-N-Z, GEMSTONES
OW1-V-ER0-L-UH2-K, OVERLOOK
OY1-Z-AH0-N-IH0-NG-Z, POISONINGS
IH1-S-AH0-T-IY0-Z, ECCENTRICITIES
AY1-P-R-IH2-T-AH0-N, TYPEWRITTEN
AA1-S-AH0-S-AH0-N, DIOCESAN
AE1-L-AH0-Z, BALLAS CALLAS GALLAS HALLAS KALLAS VALLAS
AE1-M-S-T-R-AH0, HAMSTRA KAMSTRA
EH1-K-IY0-AH0-S, BECKIUS
AO1-R-P-AH0-S-AH0-Z, PORPOISES
ER1-K-V-AH0-L-AA0-V, DZHIRKVELOV
IH1-K-AH0-D-N-AH0-S, WICKEDNESS
IH1-S-AH0-M-ER0, MISSIMER
UW1-G-UH2-D, TOOGOOD
IH1-B-R-AH0-L-EY2-T-ER0, DEFIBRILLATOR
EH1-R-W-EH2-R, SHAREWARE
IH1-K-Y-AH0-L-AH0-M, CURRICULUM DIVERTICULUM
AY1-B-IY0, BIBY LIBY
ER1-P-T, BURPED EXCERPT(2) USURPED
AA1-R-L-AH0-M-AH0-N-T, PARLIAMENT
IH1-K-S-AH0-L-Z, PIXELS
IH1-N-T-ER0-K-AA2-M, INTERCOM
AA1-L-IH0-JH-IH0-NG, ACKNOWLEDGING
EY1-T-AH0-L-IH2-Z-AH0-M, FATALISM
ER1-M-AE2-N, FURMAN MERMAN
UW1-D-ER0-T, COUDERT
AA1-P-W-UH2-D, HOPWOOD
AO1-Z-AH0-N, AUZENNE CLAUSON PETROSSIAN
AY1-M-UW0-TH, FREIMUTH
AH1-SH-AH0-M-AE0-N, DUCHEMIN
AO1-L-R-AE0-T, MALLRAT
AH1-L-S-M-AH0-N, HULSMAN
EY1-K-AO2-F, TAKEOFF
UW1-K-AO2-R, NEWCOR NUCOR
IY1-ER0-AH0-S-T-S, THEORISTS
AE1-K-S-L-AY2-N, AXLINE
AE1-N-D-Z-B-ER0-G-ER0, LANDSBERGER
ER1-V-ER0-T, PERVERT
ER1-F-IH2-T, SMURFIT
EY1-D-ER0-Z, CRUSADERS EVADERS FADERS GRADERS INVADERS NADER'S RAIDER'S RAIDERS RAIDERS' TRADER'S TRADERS TRADERS' WADERS
IH1-L-OW2-Z, WILLOWES WILLOWS
AO1-D-F-UH0-T, BROADPFOOT
AO1-R-B-AO2-R-D, FLOORBOARD SCOREBOARD
EY1-SH-AH0-S-N-AH0-S, GRACIOUSNESS HELLACIOUSNESS
AO1-R-AO0-R-K, OROARK
IH1-P-AH0, AGRIPPA ALIQUIPPA KNIPPA LIPPA PHILIPPA SKIPPA TIPA
AE1-N-D-AH0-B-AH0-L, EXPANDABLE MANDIBLE UNDERSTANDABLE
AE1-L-F-AH0-N, DALFEN
AY1-D-AW2-T-S, HIDEOUTS
IH1-L-AW0-ER0, PHILHOWER
AE1-N-AH0-G-AH0-L, MCMANIGAL
AE1-K-AW2-T, BLACKOUT
IH1-N-IY0-AH0-L, LINEAL MATRILINEAL PATRILINEAL
AA1-L-S-M-AH0, TALSMA
AA1-R-D-W-UH2-D-Z, HARDWOODS
AY1-K-R-AA2-N-Z, MICRON'S MICRONS
IH1-G-ER0-AE2-T, ZIGGURAT
AH1-F-AH0-L-Z, RUFFLES SCUFFLES SHUFFLES TRUFFLES
AA1-D-AH0-F-AY2-D, CODIFIED MODIFIED
IY1-V-AH0-N-B-ER0-G, LEVENBERG
UW1-R-OW0-K-AA0-M, EUROCOM(2)
EY1-V-AH0-D-S-AH0-N, DAVIDSON
EY1-N-AY2-V-L-IY0, PLAINTIVELY(2)
UH1-L-F-OW2-K, WOOLFOLK
AA1-R-P-AH0-S-T, SHARPEST
AE1-D-V-AH0-K-EY2-T-AH0-D, ADVOCATED
AE1-SH-AH0-N-AH0-T-L-IY0, COMPASSIONATELY DISPASSIONATELY PASSIONATELY
EH1-R-AA2-N, BETASERON
AA1-B-R-AH0-N-T, GARRABRANT
IY1-DH-IY0-AH0, LEITHIA
EH1-R-T-IY0, ALBERTI ALIBERTI BERTI CONCERTI DALIBERTI FLAHARTY FLAHERTY GILBERTI LACERTE LALIBERTE LAMBERTI LIBERTI
AE1-D-IY0-AH0-S, THADDEUS
IY1-N-AH2-P-S, CLEANUPS
OW1-L-IY0-D-EY0, SOLIDAY
EH1-L-F-ER0-D, BELFORD ELFORD RELFORD TELFORD WELFORD
EH1-D-AH0-T-B-AE2-NG-K, CREDITBANK
AH1-P-ER0-IY0-AH0-S-T, DUPRIEST
EH1-N-T-OW0-S, CEMENTOS
AH1-T-AH0-N-D, BUTTONED UNBUTTONED
AY1-P-S-IH0-G, LEIPZIG
AO1-T-AA2-P-S-IY0-Z, AUTOPSIES
AY1-T-IH0-SH, WHITISH
EH1-V-AH0-N-Z, BEVANS ELEVEN'S ELEVENS EVANS EVANS' HEAVEN'S HEAVENS LEAVENS NEVIN'S NEVINS SEVEN'S SEVENS
AE1-NG-G-N-IY0, TANGNEY
ER1-N-SH-AO2, EARNSHAW
EH1-L-G-AH0-N-HH-AW0-ER0, FELGENHAUER
ER1-M-IY2, THERMAE
EH1-N-S-IH0-K-S, FORENSICS
AH1-N-AA0-R-S-AH0-N, GUNNARSON
EY1-P-IH0-NG-Z, SCRAPINGS TAPINGS
AY1-NG-G-AA0-R-T-N-ER0, WEINGARTNER
